id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1484595,Steps to UW  Modem & Cable TV (31),3074414,Melissa,University District,University District,47.65865,-122.31784,Entire home/apt,125,30,39,2024-08-19,0.29,129,365,2,STR-OPLI-19-002570
1493349,Univ Village Walk to UW   Comfortable 5507,3074414,Melissa,Other neighborhoods,Ravenna,47.66822,-122.2986,Entire home/apt,120,30,45,2024-03-14,0.33,129,293,2,STR-OPLI-19-002641
1494828,Modern and Clean 2 Bedroom in Eastlake/Lake Union,316200,William,Cascade,Eastlake,47.63996,-122.32414,Entire home/apt,135,30,247,2024-08-31,1.83,7,267,3,
1494986,Queen Anne Guesthouse with Deck and Garden View,316200,William,Queen Anne,East Queen Anne,47.63346,-122.34558,Entire home/apt,152,3,212,2024-09-14,1.58,7,304,24,STR-OPLI-19-000681
1531351,Strong WiFi 3 Min walk UW Clean (7),3074414,Melissa,University District,University District,47.65745,-122.31625,Entire home/apt,110,30,36,2023-07-14,0.27,129,294,0,
1531458,Remodeled Walk to UW/View/Serene #F,3074414,Melissa,University District,University District,47.66502,-122.30352,Entire home/apt,135,30,68,2024-05-18,0.51,129,84,1,STR-OPLI-21-002570
1539463,Private room/bath - Madrona/Seattle,5312600,Rainer,Central Area,Mann,47.61367,-122.29716,Private room,78,2,71,2024-08-07,0.53,2,19,9,STR-OPLI-19-001183
1541705,Quiet Room U Village Private Entrance /UW (3),3074414,Melissa,Other neighborhoods,Ravenna,47.66685,-122.295,Private room,80,30,37,2024-01-30,0.27,129,267,1,
1579615,"Seattle Oasis: Centrally Located, 50A EV Charger.",4384828,Monique,Ballard,Adams,47.67566,-122.38795,Entire home/apt,167,3,354,2024-09-09,2.63,2,324,40,STR-OPLI-19-002571
1593991,"Sequim, Olympic Mountains Wa",8501598,Stan,Other neighborhoods,North Beach/Blue Ridge,47.69106,-122.38337,Private room,,30,42,2015-10-06,0.34,1,365,0,
1599010,Center UW Large Wood Floor King bed walk UW (104),3074414,Melissa,University District,University District,47.66135,-122.31503,Entire home/apt,114,30,31,2023-09-30,0.25,129,358,1,STR-OPLI-19-002641
1603124,Center UW Fast Internet Comfy 208,3074414,Melissa,University District,University District,47.66108,-122.31434,Entire home/apt,125,30,24,2023-11-11,0.18,129,357,1,STR-OPLI-19-002641
1603408,"Short walk to UW, Remodeled Serene (47)",3074414,Melissa,University District,University District,47.65891,-122.31745,Entire home/apt,134,30,54,2024-09-02,0.40,129,130,10,STR-OPLI-19-002570
1628210,"Private 2 Bed, Full Bath House near Greenlake",8654046,Ronda,Other neighborhoods,Phinney Ridge,47.68057,-122.34883,Entire home/apt,148,2,34,2024-09-03,0.30,2,147,14,STR-OPLI-19-000640
1629525,Inner city private room on North Beacon Hill,8660724,Deb,Beacon Hill,North Beacon Hill,47.57793050699965,-122.30020511960362,Private room,50,30,11,2024-08-17,0.14,3,364,2,
1647216,"Center UW New, Fancy & Cute, 04",3074414,Melissa,University District,University District,47.66281,-122.31305,Entire home/apt,105,30,23,2021-03-24,0.19,129,171,0,STR-OPLI-20-000157
1684236,Downtown view. Close to Convention Center,8905591,David,Downtown,First Hill,47.61215,-122.32971,Entire home/apt,146,3,227,2024-09-18,1.71,1,298,13,STR-OPLI-21-000010
1686930,Walk to Space Needle Vintage View with King Bed,8916363,Paige,Queen Anne,West Queen Anne,47.63059,-122.36509,Entire home/apt,190,1,742,2024-09-11,5.56,3,57,118,STR-OPLI-19-001889
1696389,Luxury Queen Anne 3bd2ba Sunset&Sea View Furnished,8956137,William,Queen Anne,West Queen Anne,47.6304,-122.37041,Entire home/apt,259,30,5,2022-11-11,0.07,1,295,0,
1716901,Charming one bed apt - Capitol Hill,3650951,Candace,Capitol Hill,Broadway,47.61884,-122.32476,Entire home/apt,130,3,125,2024-08-08,1.10,1,17,3,STR-OPLI-19-001892
1732441,Green on Green - Top Level of House,1214247,Marcell,Delridge,North Delridge,47.56204,-122.36149,Entire home/apt,90,2,214,2024-09-16,1.64,1,218,28,STR-OPLI-19-002273
1737244,Your Warm  Retreat,9148911,Constance,Other neighborhoods,Bryant,47.67148,-122.28099,Private room,71,30,40,2022-08-10,0.35,1,365,0,STR-OPLI-19-002384
1764100,Center UW Chic Clean & Comfy 309,3074414,Melissa,University District,University District,47.66316,-122.31276,Entire home/apt,125,30,54,2023-08-12,0.41,129,144,0,STR-OPLI-19-002641
1773803,View Emerald City Jewel Apt UW 1BD Great Location,8026420,Sheldon,University District,University District,47.6568,-122.31299,Entire home/apt,92,30,303,2019-12-08,2.28,2,365,0,
1802663,Urban Oasis Within Wallingford home,9450725,Ron,Other neighborhoods,Wallingford,47.65428,-122.33766,Entire home/apt,116,2,376,2024-09-02,2.83,1,206,39,STR-OPLI-19-003318
1807936,JazzBb,3464851,Ev,Northgate,Maple Leaf,47.70265,-122.31618,Private room,60,30,25,2019-11-10,0.28,1,362,0,
1820794,"Cozy Suite, Covered Backyard Patio, Walk to Climate Pledge",9533123,Pam,Queen Anne,East Queen Anne,47.62969,-122.34853,Entire home/apt,143,2,653,2024-09-16,5.01,1,283,51,STR-OPLI-19-002846
1851863,Perfect Home away from home near Green Lake Park,9671138,Susanna,Other neighborhoods,Greenwood,47.69674,-122.34621,Entire home/apt,,30,44,2019-11-25,0.33,1,263,0,
1900698,Glam Room in Diverse Neighborhood,3118422,Julie,Rainier Valley,Columbia City,47.55306,-122.28104,Private room,40,30,204,2024-03-31,1.55,1,229,1,
1909058,Queen Anne Private Bed and Bath,2497928,Gary And Beth,Queen Anne,West Queen Anne,47.63812,-122.37077,Private room,100,3,196,2024-08-25,1.51,1,357,16,STR-OPLI-19-001496
1925661,Large 1BD w/bath/walkin closet; parking included,9975709,Bea,Beacon Hill,North Beacon Hill,47.57943,-122.30387,Private room,100,30,104,2020-02-29,0.83,1,263,0,825676
1935439,Sunny Private Room by Carkeek Park,10014839,Timothy,Other neighborhoods,Greenwood,47.70407,-122.36123,Private room,35,30,19,2023-01-16,0.15,1,78,0,
1976382,Modern luxury on Capitol Hill,1121532,Melissa,Capitol Hill,Broadway,47.62372,-122.32417,Entire home/apt,128,30,96,2024-06-30,0.74,9,335,1,STR-OPLI-19-002118
1983713,Private  Retreat in the City,10235544,Scott (Aka Skip),Central Area,Leschi,47.59181,-122.29372,Entire home/apt,120,10,57,2024-07-19,0.45,3,52,4,STR-OPLI-19-002543
2026794,West Room in Cozy Charming 1905 Cottage,10392662,Sheryl,Other neighborhoods,Wallingford,47.65973,-122.3322,Private room,71,30,248,2023-07-31,1.91,2,50,0,STR-OPLI-23-000939
